"","region","supplysector","subsector","stub.technology","year","capacity.factor"
"390","SC","base load generation","wind","wind_base",2030,0.25
"391","SD","base load generation","wind","wind_base",2030,0.36
"392","TN","base load generation","wind","wind_base",2030,0.26
"393","TX","base load generation","wind","wind_base",2030,0.38
"394","UT","base load generation","wind","wind_base",2030,0.25
"395","VA","base load generation","wind","wind_base",2030,0.35
"396","VT","base load generation","wind","wind_base",2030,0.32
"397","WA","base load generation","wind","wind_base",2030,0.44
"398","WI","base load generation","wind","wind_base",2030,0.44
"399","WV","base load generation","wind","wind_base",2030,0.29
"400","WY","base load generation","wind","wind_base",2030,0.35
"401","AK","base load generation","wind","wind_base",2035,0.45
"402","AL","base load generation","wind","wind_base",2035,0.31
"403","AR","base load generation","wind","wind_base",2035,0.3
"404","AZ","base load generation","wind","wind_base",2035,0.26
"405","CA","base load generation","wind","wind_base",2035,0.44
"406","CO","base load generation","wind","wind_base",2035,0.34
"407","CT","base load generation","wind","wind_base",2035,0.44
"408","DE","base load generation","wind","wind_base",2035,0.33
"409","FL","base load generation","wind","wind_base",2035,0.38
"410","GA","base load generation","wind","wind_base",2035,0.24
"411","HI","base load generation","wind","wind_base",2035,0.29
"412","IA","base load generation","wind","wind_base",2035,0.33
"413","ID","base load generation","wind","wind_base",2035,0.26
"414","IL","base load generation","wind","wind_base",2035,0.38
"415","IN","base load generation","wind","wind_base",2035,0.32
"416","KS","base load generation","wind","wind_base",2035,0.35
"417","KY","base load generation","wind","wind_base",2035,0.26
"418","LA","base load generation","wind","wind_base",2035,0.41
"419","MA","base load generation","wind","wind_base",2035,0.44
"420","MD","base load generation","wind","wind_base",2035,0.37
"421","ME","base load generation","wind","wind_base",2035,0.41
"422","MI","base load generation","wind","wind_base",2035,0.45
"423","MN","base load generation","wind","wind_base",2035,0.45
"424","MO","base load generation","wind","wind_base",2035,0.31
"425","MS","base load generation","wind","wind_base",2035,0.27
"426","MT","base load generation","wind","wind_base",2035,0.36
"427","NC","base load generation","wind","wind_base",2035,0.35
"428","ND","base load generation","wind","wind_base",2035,0.34
"429","NE","base load generation","wind","wind_base",2035,0.36
"430","NH","base load generation","wind","wind_base",2035,0.38
"431","NJ","base load generation","wind","wind_base",2035,0.33
"432","NM","base load generation","wind","wind_base",2035,0.35
"433","NV","base load generation","wind","wind_base",2035,0.25
"434","NY","base load generation","wind","wind_base",2035,0.38
"435","OH","base load generation","wind","wind_base",2035,0.34
"436","OK","base load generation","wind","wind_base",2035,0.36
"437","OR","base load generation","wind","wind_base",2035,0.4
"438","PA","base load generation","wind","wind_base",2035,0.34
"439","RI","base load generation","wind","wind_base",2035,0.34
"440","SC","base load generation","wind","wind_base",2035,0.25
"441","SD","base load generation","wind","wind_base",2035,0.36
"442","TN","base load generation","wind","wind_base",2035,0.26
"443","TX","base load generation","wind","wind_base",2035,0.38
"444","UT","base load generation","wind","wind_base",2035,0.25
"445","VA","base load generation","wind","wind_base",2035,0.35
"446","VT","base load generation","wind","wind_base",2035,0.32
"447","WA","base load generation","wind","wind_base",2035,0.44
"448","WI","base load generation","wind","wind_base",2035,0.44
"449","WV","base load generation","wind","wind_base",2035,0.29
"450","WY","base load generation","wind","wind_base",2035,0.35
"451","AK","base load generation","wind","wind_base",2040,0.45
"452","AL","base load generation","wind","wind_base",2040,0.31
"453","AR","base load generation","wind","wind_base",2040,0.3
"454","AZ","base load generation","wind","wind_base",2040,0.26
"455","CA","base load generation","wind","wind_base",2040,0.44
"456","CO","base load generation","wind","wind_base",2040,0.34
"457","CT","base load generation","wind","wind_base",2040,0.44
"458","DE","base load generation","wind","wind_base",2040,0.33
"459","FL","base load generation","wind","wind_base",2040,0.38
"460","GA","base load generation","wind","wind_base",2040,0.24
"461","HI","base load generation","wind","wind_base",2040,0.29
"462","IA","base load generation","wind","wind_base",2040,0.33
"463","ID","base load generation","wind","wind_base",2040,0.26
"464","IL","base load generation","wind","wind_base",2040,0.38
"465","IN","base load generation","wind","wind_base",2040,0.32
"466","KS","base load generation","wind","wind_base",2040,0.35
"467","KY","base load generation","wind","wind_base",2040,0.26
"468","LA","base load generation","wind","wind_base",2040,0.41
"469","MA","base load generation","wind","wind_base",2040,0.44
"470","MD","base load generation","wind","wind_base",2040,0.37
"471","ME","base load generation","wind","wind_base",2040,0.41
"472","MI","base load generation","wind","wind_base",2040,0.45
"473","MN","base load generation","wind","wind_base",2040,0.45
"474","MO","base load generation","wind","wind_base",2040,0.31
"475","MS","base load generation","wind","wind_base",2040,0.27
"476","MT","base load generation","wind","wind_base",2040,0.36
"477","NC","base load generation","wind","wind_base",2040,0.35
"478","ND","base load generation","wind","wind_base",2040,0.34
"479","NE","base load generation","wind","wind_base",2040,0.36
"480","NH","base load generation","wind","wind_base",2040,0.38
"481","NJ","base load generation","wind","wind_base",2040,0.33
"482","NM","base load generation","wind","wind_base",2040,0.35
